Player,Pos,Year,Ridge,RF,SVM,NeuralNet
Reggie Jones,WR,2001,-55.04070572307303,-59.42799999999998,-44.25736857227546,-34.48791275024414
Vernon Davis,TE,2007,36.75102043717727,28.264,46.37122192687761,47.24973907470704
Jeremy Shockey,TE,2008,-26.5840692042984,-29.947999999999997,-21.701581829890458,-9.875209045410145
Terry Kirby,RB,2002,-7.900011668408048,4.794000000000004,4.372685501252612,4.229629135131837
Trevor Davis,WR,2017,-15.45627770188688,-10.053999999999991,-2.184074530986255,-7.183888626098632
Eli Rogers,WR,2018,-28.72792016916859,-25.264000000000003,-16.32992711788104,-14.603521347045898
Paul Perkins,RB,2018,-28.275949693110714,-25.425999999999995,-16.683678738686883,-17.23034210205078
Tony Gonzalez,TE,2003,76.45258574633601,82.826,78.81234188046915,78.3996597290039
Ray-Ray McCloud,WR,2019,-5.98462987328897,0.2059999999999995,6.915876050211661,0.6269580841064446
Shonn Greene,RB,2011,72.17831434469682,58.56799999999997,78.73508821908946,83.48963928222656
Jeremy Shockey,TE,2006,9.734214271388735,14.895999999999972,11.61817670120486,17.131459045410168
Alan Cross,TE,2017,-19.40532677014949,-14.724000000000004,-6.103630342889826,-10.554114532470702
Luke Stocker,TE,2016,-17.166440226292988,-11.633999999999991,-6.935288773920913,-12.976063919067382
Laquon Treadwell,WR,2019,-27.263867744617286,-25.789999999999985,-17.142238357938957,-6.805078125000001
Chris Thompson,WR,2018,38.59511136302771,43.088,51.12495340806793,44.74328002929687
Marshawn Lynch,RB,2018,-46.257995146844735,-19.230000000000004,-43.40660242393763,-36.197418212890625
Montell Owens,RB,2009,-29.523025828749887,-25.843999999999998,-16.71778292685378,-19.57601203918457
Tyler Kroft,TE,2018,-65.86768370683046,-69.666,-58.09030165487753,-77.64716186523438
Nate Washington,WR,2012,-20.571105087145924,-35.84,-21.24231308434804,-13.963430786132818
Santonio Holmes,WR,2013,-42.79239126473164,-14.229999999999997,-36.26911717912849,-23.71434631347656
Markus Wheaton,WR,2016,-92.18681927773773,-97.55400000000004,-88.52975890357914,-87.1491683959961
Brandon Marshall,WR,2016,-77.00166391842801,-110.19000000000013,-83.41240943536876,-63.126040649414065
