Player,Pos,Year,Y,Ridge,RF,SVM,NeuralNet
Cecil Sapp,RB,2006,15.4,23.904239691205333,20.938,10.925591149438183,17.702374
DuJuan Harris,RB,2015,31.3,27.541019046716585,46.426000000000016,14.812154160367108,19.840683
Cedrick Wilson Jr.,WR,2021,113.8,45.56759158074472,37.80600000000001,32.91362575998825,32.773777
Julius Jones,RB,2007,102.6,120.36115323207258,127.39399999999996,119.94346646251496,102.57348
Troy Williamson,WR,2008,11.6,53.82037941257806,68.89,43.59703435583002,41.78605
David Reed,WR,2012,9.1,21.62468440379384,35.15,8.62714677014715,14.290685
Steve Heiden,TE,2008,36.400000000000006,29.330439288978862,30.578000000000007,17.30704154740694,23.340485
J.J. Arrington,RB,2008,70.7,58.23474535596952,38.00599999999999,46.58344838363322,36.48086
Jerome Harrison,RB,2008,54.2,36.12716129899019,53.426,24.0983500270026,25.403755
Dalvin Cook,RB,2021,185.3,225.86798368185947,181.97599999999997,229.9874368924505,205.5409
Shane Vereen,RB,2014,139.8,129.8561879372317,100.524,122.16693306996974,110.06335
Darrel Williams,RB,2020,43.5,64.82676813817514,50.96799999999998,53.64189870821767,51.01277
Luke Willson,TE,2016,32.4,43.49776049996745,32.837999999999994,33.91715223863841,29.474712
Patrick Cobbs,RB,2008,63.8,28.809013527817022,61.742,15.853980749973914,19.68064
Travis Taylor,WR,2006,108.1,88.75818233530485,76.11799999999998,83.2636924745497,74.93165
David Martin,TE,2007,59.3,52.26897394475335,51.99800000000002,41.07700578568113,33.52698
Alfred Morris,RB,2020,39.2,20.72941564008221,9.324233333333332,7.802093477205197,14.109054
Cordarrelle Patterson,WR,2014,76.60000000000001,98.3999939693012,100.13199999999996,89.16544421337713,95.79473
Eddie Berlin,WR,2002,1.9,24.35046361130188,19.714,10.979166992363112,19.119581
Patrick Crayton,WR,2005,51.1,51.18821665604681,53.71400000000001,40.07673279847573,34.55304
Santana Moss,WR,2006,146.7,184.3514599152647,189.51399999999995,193.5984601787677,171.69986
Na Brown,WR,2001,13.0,31.602473250986428,27.798,18.726608148237855,22.12209
Allen Robinson,WR,2017,2.2,123.732861161391,136.69199999999998,119.54942528728806,111.11786
David Boston,WR,2002,76.10000000000001,201.76307871121872,208.51800000000003,210.69544593275015,185.61108
Toby Gerhart,RB,2013,53.6,56.84026666861909,41.38600000000002,45.461970440395824,35.694572
Kevin Curtis,WR,2006,90.3,118.36516263223518,141.06400000000002,114.0570873513462,110.21242
Clay Harbor,TE,2013,49.2,44.2922291081993,44.956,33.452888534169446,29.582645
C.J. Spiller,RB,2012,233.8,105.6924946838302,88.714,99.92789414041648,92.82672
Da'Rel Scott,RB,2013,29.0,21.058021190023556,21.4158,8.165563405077805,14.201381
Sean Ryan,TE,2007,6.1000000000000005,23.962234775241924,12.868000000000006,11.51247598239091,17.453987
AJ Dillon,RB,2021,166.60000000000002,46.92231891016718,35.150000000000006,35.64133555813322,30.546152
Dorial Green-Beckham,WR,2016,69.2,84.05739913915765,97.87399999999998,77.21598326992377,78.600845
Chris Chambers,WR,2009,38.3,80.36289530643747,80.19599999999997,72.92237862712871,80.25128
Ruvell Martin,WR,2010,25.3,37.69811381219944,37.86399999999998,25.41009831877348,27.389465
Dee Brown,RB,2006,1.4000000000000004,28.32155419606704,14.560000000000002,15.526328675287148,18.874388
Plaxico Burress,WR,2009,131.7,92.23247569023336,85.77600000000001,85.97532161589652,79.87608
LeSean McCoy,RB,2014,183.4,226.4720708252982,272.1940000000001,233.3375295760817,196.26059
Robert Wilson,WR,2001,38.2,37.98292440604679,41.21400000000003,25.89844302182322,27.153952
Myles Gaskin,RB,2020,143.70000000000002,45.41819140167348,65.26199999999999,33.164035033921856,29.760422
Mike Evans,WR,2020,213.6,168.32200442958526,168.67600000000002,173.0564711299445,155.47556
Shawn Bryson,RB,2005,81.5,83.55971237841287,65.598,73.6741996396574,55.52225
Ben Obomanu,WR,2010,90.1,25.42793674834361,19.448,12.54913125468505,18.466463
Correll Buckhalter,RB,2008,106.3,65.64221734504623,53.88800000000002,55.23512929151921,39.05603
Garrison Hearst,RB,2004,17.1,116.16693491996092,133.47000000000003,112.5906101518834,107.416245
Edell Shepherd,WR,2004,17.3,44.76809287051469,47.18600000000001,32.82868289786967,27.740849
Jim Dray,TE,2014,38.7,40.257287480316606,48.68199999999999,31.891348397204865,28.707748
Jerry Porter,WR,2002,148.89999999999998,47.27678152114062,35.74199999999999,35.66554496488239,29.454748
Seth Roberts,WR,2020,5.1,54.64909920134323,34.24,43.56900495526152,35.397476
Noah Brown,WR,2021,26.4,37.90636864766662,60.378,25.83316360308013,25.465298
Erron Kinney,TE,2005,93.8,56.28895297782226,64.70800000000003,46.706884549014944,37.564903
Nate Burleson,WR,2011,136.7,107.62480330204508,105.082,103.24076861161647,102.09208
Leon Johnson,RB,2002,53.4,38.286915200224975,43.393999999999984,26.00134135173471,23.13237
Cedrick Wilson Jr.,WR,2020,38.2,31.537533295066268,28.88000000000001,18.782286488629865,21.562933
Tony Gonzalez,TE,2008,213.8,153.17674590834008,148.8240000000001,155.0039178747124,141.24312
Andrew Quarless,TE,2014,64.80000000000001,54.86607065691541,62.65400000000002,45.64680653202427,35.568775
Austin Seferian-Jenkins,TE,2015,68.30000000000001,56.7368763609056,62.21599999999998,47.25344756577634,37.414875
Charles Johnson,WR,2016,33.2,35.310268992651864,37.408,24.1250953620946,27.36201
Fred McAfee,RB,2001,0.2,22.89821226969509,37.544000000000025,10.20099500120464,14.718404
Chad Lewis,TE,2002,74.80000000000001,73.7450588955917,60.058000000000014,66.60280583019555,69.63879
Michael Jenkins,WR,2005,84.80000000000001,33.48603065601649,42.606,20.112405370784444,27.501818
Glenn Holt,WR,2007,22.5,20.95861312752386,52.59399999999999,7.784128729896544,14.5635
Lamont Hall,TE,2005,6.6,21.523627370750557,75.31580000000002,8.877503337123585,15.037156
Andre Roberts,WR,2015,19.0,75.50492904350284,80.606,65.41227567678642,64.796684
Paul Richardson,WR,2017,128.3,56.34887187171936,57.472,45.52991908042256,38.068493
Darnell Dinkins,TE,2009,10.7,26.726102080491856,35.24599999999999,13.509848915390634,20.745598
Brandon Coleman,WR,2017,61.900000000000006,56.05331823579404,52.47600000000001,45.623685105783565,38.82212
Nate Poole,WR,2003,30.2,53.7441742208525,33.624,41.90996140738896,32.929657
Randall Cobb,WR,2019,125.4,87.8659232682493,81.73599999999999,78.32830980216727,71.358734
Demetrius Harris,TE,2021,2.5,23.41369844381856,15.712000000000003,11.061466096639036,16.931444
Leon Washington,RB,2012,15.4,47.933409968182175,64.424,36.54651136352415,28.666489
De'Anthony Thomas,RB,2015,33.9,53.52863541721949,59.47000000000002,41.8915779420865,33.96427
James Stewart,RB,2002,194.4,106.33378760498398,119.448,102.43702534752248,88.37576
Joe Horn,WR,2002,215.4,166.20060352838527,166.94,169.6122560641296,155.76935
David Montgomery,RB,2021,176.0,177.37455368554055,190.622,178.51229764511777,162.97273
Rod Streater,WR,2016,40.1,30.693177052215347,25.816000000000017,18.02370675668915,20.142765
Tarik Cohen,RB,2019,118.4,151.98204452362324,113.656,149.45973207859404,128.03157
Ryan Grant,RB,2008,162.9,129.26271400496734,93.342,124.22140090003457,113.319496
Reggie Kelly,TE,2008,36.2,35.515894500961444,24.057999999999996,27.41100103393721,27.086609
Kamar Aiken,WR,2016,53.3,127.66186678746244,86.14200000000002,126.00653016948011,119.98318
Calvin Johnson,WR,2015,217.4,161.81953288091336,187.782,163.72969205239178,148.63678
Jason Wright,RB,2010,9.0,32.919374410526615,23.171999999999997,19.902197633634916,21.363333
Tyler Boyd,WR,2019,177.90000000000003,148.2695963653573,173.2619999999999,150.72308033145913,141.84166
Brian Hartline,WR,2011,79.30000000000001,98.80788070125465,121.30799999999996,95.11044853455856,92.282364
Alex Smith,TE,2006,58.5,62.27296118430209,46.14599999999998,53.36467961815036,40.02788
Matt Spaeth,TE,2011,20.5,24.00769394067364,38.36600000000001,13.86145799879484,18.339134
Marcus Johnson,WR,2021,20.3,53.09007732647024,75.156,43.01004271326755,38.705456
Mike Cloud,RB,2003,43.1,39.83054811447607,71.93800000000002,28.145822792829318,26.41543
Leonard Pope,TE,2012,14.4,44.424436459745785,44.028,34.88339235362813,32.91445
Jeff King,TE,2008,36.0,63.78283443409486,67.7,55.387727868880354,45.753517
Wayne Chrebet,WR,2001,109.0,131.12894538764215,119.03399999999998,128.67421386796323,124.52098
Jerome Felton,RB,2015,1.9,20.639601541868306,26.981999999999985,8.415524703223667,14.084395
Aldrick Robinson,WR,2014,54.3,62.08372775128108,74.61600000000003,51.67963795639487,54.870052
Mark Bruener,TE,2004,7.2,23.983618061842527,18.26199999999999,10.478051525328468,17.224976
Lee Evans,WR,2006,216.2,108.38507289429792,115.544,105.62768610225348,105.547806
Roscoe Parrish,WR,2010,68.8,25.42260188003634,15.345999999999997,12.255101240255383,19.087162
Joe Jurevicius,WR,2004,58.8,56.4672989379544,33.35000000000001,44.96831693272993,35.166138
Shawn Bryson,RB,2001,56.5,102.71317796888108,90.244,96.7042625740025,93.592926
Dwayne Carswell,TE,2001,70.9,73.49367923932319,71.744,67.83012718614806,67.86735
Chris Carson,RB,2021,45.1,132.85962822449684,148.914,129.52991254342334,126.16959
Julian Edelman,WR,2017,166.7,150.3808782978092,132.29999999999995,148.6465934128853,131.60655
Torry Holt,WR,2002,199.50000000000003,170.48951471202537,163.722,177.55582148297756,161.43976
Daniel Thomas,RB,2013,90.4,76.85715034456581,54.07599999999999,67.09870489448964,57.934868
Shawn Bryson,RB,2006,19.9,81.1015012896563,100.62800000000004,70.8387558732512,66.10471
